Order_ID,Customer_ID,Order_Date,Year,Month,Day,Day_Of_Week,Quarter,Customer_Age,Customer_Gender,Country,City,Customer_Segment,Product_ID,Product_Category,Product_Subcategory,Brand,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Coupon_Used,Shipping_Cost,Tax_Amount,Order_Amount,Payment_Method,Device_Type,Traffic_Source,Membership_Status,Shipping_Method,Warehouse_Region,Delivery_Days,Order_Status,Returned,Review_Rating,Customer_Lifetime_Value,Profit_Margin_Percent,Profit_Amount,Season,Holiday_Season,High_Value_Order
615086,CUST006665,2023-01-01,2023,1,1,Sunday,1,29,Female,Canada,London,New,PROD02140,Groceries,Beverages,EcoLife,13.69,1,5,0.68,No,14.8,1.5,29.31,PayPal,Mobile,Organic Search,Standard,Express,West,4,Delivered,No,4.8,192.4,17.72,5.19,Winter,No,No
628771,CUST002640,2023-01-01,2023,1,1,Sunday,1,63,Female,India,Toronto,Returning,PROD00584,Fashion,Women Clothing,EcoLife,66.05,3,10,19.81,Yes,5.14,7.97,191.45,PayPal,Desktop,Email,Standard,Standard,West,2,Cancelled,No,3.5,2278.8,20.77,39.76,Winter,No,No
617536,CUST000328,2023-01-01,2023,1,1,Sunday,1,29,Female,Canada,Toronto,Loyal,PROD01036,Groceries,Dairy,QuickCart,11.54,2,20,4.62,Yes,8.89,0.98,28.33,Bank Transfer,Mobile,Email,Standard,Standard,South,3,Delivered,No,3.6,939.28,24.91,7.06,Winter,No,No
603836,CUST003056,2023-01-01,2023,1,1,Sunday,1,41,Male,France,Riyadh,Returning,PROD00465,Groceries,Snacks,Apex,43.8,2,15,13.14,Yes,5.88,4.65,84.99,PayPal,Tablet,Paid Ads,Silver,Pickup,Central,3,Delivered,No,4.1,1406.5,13.13,11.16,Winter,No,No
608352,CUST001943,2023-01-01,2023,1,1,Sunday,1,32,Male,United Kingdom,Riyadh,Premium,PROD00826,Electronics,Laptop,EcoLife,684.02,2,15,205.21,Yes,8.48,105.78,1277.09,Cash on Delivery,Desktop,Referral,Platinum,Express,East,2,Delivered,No,5.0,25972.2,23.93,305.61,Winter,No,Yes
606591,CUST007847,2023-01-01,2023,1,1,Sunday,1,20,Female,Pakistan,Paris,Loyal,PROD00918,Beauty,Skincare,Zenith,40.73,4,0,0.0,Yes,8.53,15.05,186.5,Debit Card,Mobile,Organic Search,Standard,Standard,West,8,Delivered,No,3.6,4388.39,36.42,67.92,Winter,No,No
607440,CUST000190,2023-01-01,2023,1,1,Sunday,1,26,Male,Germany,Paris,New,PROD02282,Fashion,Women Clothing,Zenith,87.52,3,15,39.38,Yes,8.16,13.2,244.54,Bank Transfer,Mobile,Paid Ads,Standard,Standard,North,6,Delivered,No,4.0,3743.62,15.21,37.19,Winter,No,No
612427,CUST005994,2023-01-01,2023,1,1,Sunday,1,18,Female,Australia,London,Returning,PROD00221,Sports,Sportswear,EcoLife,76.08,3,15,34.24,Yes,14.14,20.48,228.62,Debit Card,Mobile,Direct,Gold,Express,South,4,Delivered,No,3.6,1463.85,24.76,56.61,Winter,No,No
608082,CUST002872,2023-01-01,2023,1,1,Sunday,1,23,Male,Pakistan,Paris,Returning,PROD01901,Groceries,Snacks,Zenith,32.58,5,35,57.01,Yes,7.17,18.78,131.84,Cash on Delivery,Desktop,Referral,Silver,Pickup,Central,5,Shipped,No,3.8,1039.31,20.74,27.34,Winter,No,No
602877,CUST003728,2023-01-01,2023,1,1,Sunday,1,29,Male,United Kingdom,Sydney,Loyal,PROD01770,Electronics,Accessories,Trendify,573.1,4,20,458.48,Yes,5.24,176.25,2015.41,Debit Card,Desktop,Organic Search,Gold,Standard,Central,3,Returned,Yes,3.1,17085.06,8.13,163.85,Winter,Yes,Yes
605159,CUST007332,2023-01-01,2023,1,1,Sunday,1,28,Male,Saudi Arabia,London,New,PROD01195,Books,Comics,ValueMax,17.48,4,25,17.48,Yes,9.64,7.43,69.51,Bank Transfer,Mobile,Email,Standard,Standard,North,10,Cancelled,No,3.6,1045.51,20.21,14.05,Winter,No,No
613304,CUST005378,2023-01-01,2023,1,1,Sunday,1,46,Male,United Kingdom,Toronto,Loyal,PROD01266,Home & Kitchen,Decor,Apex,100.89,2,5,10.09,No,1.78,15.6,209.07,Credit Card,Desktop,Social Media,Standard,Standard,Central,7,Delivered,No,3.7,4032.9,41.91,87.62,Winter,No,No
607152,CUST001212,2023-01-01,2023,1,1,Sunday,1,27,Male,United Kingdom,Paris,Loyal,PROD00269,Electronics,Accessories,UrbanCo,374.86,3,0,0.0,No,16.87,80.54,1221.99,Debit Card,Mobile,Email,Silver,Express,South,5,Delivered,No,4.4,10724.99,21.51,262.85,Winter,No,Yes
617522,CUST000025,2023-01-01,2023,1,1,Sunday,1,31,Male,United States,Karachi,Loyal,PROD00978,Electronics,Headphones,FreshMart,395.19,4,15,237.11,Yes,7.86,136.36,1487.87,Debit Card,Tablet,Email,Standard,Standard,West,5,Delivered,No,4.3,4086.69,15.99,237.91,Winter,No,Yes
621210,CUST001253,2023-01-01,2023,1,1,Sunday,1,24,Female,Germany,Mumbai,Returning,PROD00724,Sports,Fitness,Trendify,134.73,1,20,26.95,Yes,10.17,8.44,126.39,Wallet,Mobile,Direct,Standard,Express,Central,9,Delivered,No,4.6,2279.79,17.02,21.51,Winter,No,No
608217,CUST006377,2023-01-01,2023,1,1,Sunday,1,23,Female,UAE,London,Returning,PROD01988,Electronics,Laptop,PrimePlus,249.63,4,25,249.63,Yes,21.4,104.22,874.51,Bank Transfer,Mobile,Paid Ads,Gold,Same Day,West,0,Delivered,No,5.0,8860.04,12.26,107.21,Winter,No,Yes
601965,CUST003310,2023-01-01,2023,1,1,Sunday,1,28,Male,UAE,Berlin,Returning,PROD00270,Groceries,Beverages,Apex,10.85,1,10,1.08,Yes,5.37,0.46,15.6,PayPal,Desktop,Email,Standard,Pickup,North,4,Delivered,No,3.8,262.62,22.5,3.51,Winter,No,No
620217,CUST001750,2023-01-02,2023,1,2,Monday,1,24,Male,Pakistan,Toronto,New,PROD00711,Electronics,Mobile,Nova,330.33,1,20,66.07,Yes,4.1,10.58,278.94,Debit Card,Mobile,Social Media,Standard,Standard,Central,5,Delivered,No,5.0,3885.53,6.58,18.35,Winter,No,No
625475,CUST006160,2023-01-02,2023,1,2,Monday,1,36,Female,United States,Mumbai,Premium,PROD00994,Books,Education,EcoLife,23.1,4,15,13.86,Yes,8.5,5.92,92.96,Wallet,Mobile,Paid Ads,Standard,Standard,South,6,Delivered,No,4.2,2510.45,17.41,16.18,Winter,No,No
629073,CUST007809,2023-01-02,2023,1,2,Monday,1,34,Female,Germany,Berlin,Loyal,PROD01717,Toys,Action Figures,Apex,26.6,2,30,15.96,Yes,5.31,3.39,45.94,Cash on Delivery,Mobile,Social Media,Gold,Standard,South,6,Delivered,No,4.8,1169.7,18.68,8.58,Winter,No,No
603239,CUST005476,2023-01-02,2023,1,2,Monday,1,45,Male,France,Karachi,Premium,PROD02217,Electronics,Accessories,ValueMax,255.96,1,20,51.19,Yes,2.14,13.86,220.77,Cash on Delivery,Mobile,Organic Search,Silver,Standard,East,5,Shipped,No,4.1,2099.38,23.63,52.17,Winter,No,No
617441,CUST002094,2023-01-02,2023,1,2,Monday,1,27,Female,Germany,Berlin,New,PROD00548,Home & Kitchen,Decor,Nova,114.37,7,0,0.0,No,10.13,67.9,878.62,Cash on Delivery,Desktop,Social Media,Standard,Standard,South,1,Delivered,No,4.8,4403.89,36.52,320.87,Winter,No,Yes
602516,CUST004129,2023-01-02,2023,1,2,Monday,1,31,Female,India,Dubai,Returning,PROD00324,Books,Education,Trendify,11.84,1,10,1.18,Yes,7.21,1.24,19.11,Debit Card,Mobile,Social Media,Standard,Standard,Central,6,Delivered,No,5.0,723.15,23.13,4.42,Winter,No,No
603387,CUST001885,2023-01-02,2023,1,2,Monday,1,39,Male,Germany,Toronto,Loyal,PROD01112,Home & Kitchen,Decor,UrbanCo,111.98,2,0,0.0,No,24.31,17.63,265.9,Credit Card,Mobile,Paid Ads,Standard,Same Day,South,0,Delivered,No,5.0,3573.42,25.97,69.05,Winter,Yes,No
606701,CUST006478,2023-01-02,2023,1,2,Monday,1,43,Male,France,Sydney,Returning,PROD01140,Electronics,Laptop,QuickCart,459.5,6,20,551.4,Yes,19.88,121.88,2347.36,Credit Card,Mobile,Paid Ads,Standard,Express,South,1,Cancelled,No,4.4,33271.15,20.14,472.76,Winter,No,Yes
623358,CUST006567,2023-01-02,2023,1,2,Monday,1,44,Male,Australia,Sydney,Loyal,PROD00378,Electronics,Laptop,FreshMart,285.7,3,5,42.86,No,14.33,94.74,923.31,Bank Transfer,Mobile,Organic Search,Silver,Express,North,5,Delivered,No,4.5,13052.19,28.68,264.81,Winter,Yes,Yes
606625,CUST006843,2023-01-02,2023,1,2,Monday,1,24,Male,India,London,Returning,PROD00799,Fashion,Bags,Trendify,43.02,1,10,4.3,Yes,4.27,2.82,45.81,PayPal,Mobile,Direct,Standard,Standard,Central,5,Cancelled,No,4.1,456.79,18.63,8.53,Winter,No,No
613453,CUST004116,2023-01-02,2023,1,2,Monday,1,46,Female,India,Paris,Returning,PROD01725,Beauty,Haircare,QuickCart,40.78,2,10,8.16,Yes,14.84,4.79,93.03,Bank Transfer,Mobile,Organic Search,Gold,Same Day,North,1,Delivered,No,3.6,1188.87,17.54,16.32,Winter,No,No
611766,CUST002958,2023-01-02,2023,1,2,Monday,1,39,Male,France,New York,New,PROD00359,Fashion,Shoes,UrbanCo,54.85,4,5,10.97,No,7.78,24.12,240.33,Credit Card,Mobile,Direct,Standard,Standard,Central,6,Delivered,No,5.0,1445.29,24.42,58.69,Winter,No,No
620932,CUST004255,2023-01-02,2023,1,2,Monday,1,19,Female,Australia,New York,Returning,PROD00531,Groceries,Dairy,Zenith,22.47,3,0,0.0,No,7.67,5.1,80.18,Bank Transfer,Mobile,Referral,Standard,Pickup,West,8,Delivered,No,4.3,1098.77,25.93,20.79,Winter,No,No
615309,CUST004451,2023-01-02,2023,1,2,Monday,1,34,Female,Canada,Riyadh,New,PROD02474,Fashion,Bags,FreshMart,119.45,3,0,0.0,Yes,8.1,27.89,394.34,Debit Card,Mobile,Social Media,Silver,Standard,Central,6,Shipped,No,4.0,4681.72,26.54,104.66,Winter,No,Yes
604049,CUST001805,2023-01-02,2023,1,2,Monday,1,44,Female,UAE,Toronto,Loyal,PROD01455,Groceries,Dairy,Apex,29.75,1,15,4.46,Yes,2.24,1.8,29.33,Wallet,Desktop,Direct,Gold,Standard,East,3,Delivered,No,4.9,1148.32,20.78,6.09,Winter,No,No
629547,CUST003603,2023-01-02,2023,1,2,Monday,1,37,Female,Canada,New York,Returning,PROD01117,Home & Kitchen,Furniture,Trendify,105.77,6,30,190.39,Yes,20.78,54.51,519.52,Bank Transfer,Mobile,Organic Search,Silver,Express,Central,2,Returned,Yes,2.7,6819.12,16.31,84.73,Winter,No,Yes
621506,CUST002437,2023-01-02,2023,1,2,Monday,1,20,Female,India,Riyadh,Loyal,PROD00373,Groceries,Snacks,Trendify,22.29,3,40,26.75,Yes,15.71,4.71,60.54,Bank Transfer,Desktop,Referral,Silver,Express,East,6,Delivered,No,5.0,780.74,11.05,6.69,Winter,No,No
609553,CUST003901,2023-01-02,2023,1,2,Monday,1,41,Female,Australia,Paris,New,PROD00336,Fashion,Women Clothing,Apex,44.39,4,0,0.0,No,10.37,10.44,198.37,Cash on Delivery,Tablet,Paid Ads,Standard,Standard,West,3,Processing,No,4.7,804.01,26.29,52.15,Winter,No,No
626592,CUST002425,2023-01-02,2023,1,2,Monday,1,29,Female,United Kingdom,Riyadh,Returning,PROD02132,Fashion,Men Clothing,Zenith,121.42,4,5,24.28,No,8.06,45.69,515.15,Bank Transfer,Mobile,Direct,Standard,Standard,East,7,Delivered,No,4.2,8547.5,17.54,90.36,Winter,No,Yes
628350,CUST006554,2023-01-02,2023,1,2,Monday,1,30,Female,UAE,Karachi,New,PROD00653,Electronics,Laptop,FreshMart,473.27,2,0,0.0,No,2.45,62.78,1011.77,PayPal,Desktop,Organic Search,Gold,Standard,West,6,Delivered,No,5.0,12890.29,24.31,245.96,Winter,No,Yes
604771,CUST005172,2023-01-03,2023,1,3,Tuesday,1,46,Male,UAE,Sydney,New,PROD01517,Home & Kitchen,Cookware,Nova,158.42,4,0,0.0,Yes,11.76,53.2,698.64,Wallet,Desktop,Referral,Standard,Standard,North,6,Delivered,No,4.0,7377.74,27.84,194.5,Winter,No,Yes
614239,CUST008429,2023-01-03,2023,1,3,Tuesday,1,35,Male,France,Karachi,New,PROD00602,Groceries,Dairy,PrimePlus,25.3,5,15,18.98,Yes,22.35,6.59,136.46,Cash on Delivery,Desktop,Paid Ads,Standard,Same Day,West,2,Delivered,No,4.6,2824.8,27.99,38.2,Winter,No,No
606777,CUST002344,2023-01-03,2023,1,3,Tuesday,1,25,Male,UAE,Sydney,New,PROD01211,Fashion,Men Clothing,Trendify,152.96,4,35,214.14,Yes,8.24,34.44,440.38,PayPal,Mobile,Direct,Standard,Standard,North,2,Processing,No,4.6,1091.77,19.65,86.53,Winter,No,Yes
605524,CUST001000,2023-01-03,2023,1,3,Tuesday,1,48,Female,France,Riyadh,Returning,PROD00015,Books,Non-Fiction,Zenith,29.65,4,0,0.0,No,22.94,12.6,154.14,Cash on Delivery,Mobile,Paid Ads,Standard,Same Day,West,0,Shipped,No,4.7,2383.45,29.89,46.07,Winter,No,No
629711,CUST001221,2023-01-03,2023,1,3,Tuesday,1,22,Female,United States,New York,Returning,PROD01560,Fashion,Shoes,ValueMax,87.18,4,0,0.0,No,2.59,15.6,366.91,Cash on Delivery,Desktop,Social Media,Gold,Standard,South,7,Delivered,No,4.6,5794.9,31.46,115.43,Winter,Yes,No
629493,CUST006709,2023-01-03,2023,1,3,Tuesday,1,39,Male,Pakistan,Dubai,Returning,PROD02174,Groceries,Snacks,ValueMax,30.93,2,25,15.46,Yes,21.11,7.01,74.52,Debit Card,Mobile,Organic Search,Gold,Same Day,West,0,Delivered,No,4.0,1380.99,19.2,14.31,Winter,Yes,No
620286,CUST000031,2023-01-03,2023,1,3,Tuesday,1,42,Male,UAE,Karachi,New,PROD01396,Fashion,Shoes,ValueMax,35.49,3,0,0.0,No,20.63,4.57,131.67,Wallet,Desktop,Email,Standard,Same Day,South,0,Delivered,No,5.0,956.43,17.1,22.52,Winter,No,No
619121,CUST004986,2023-01-03,2023,1,3,Tuesday,1,27,Female,United Kingdom,Toronto,New,PROD01900,Sports,Sportswear,QuickCart,99.51,1,0,0.0,No,13.93,7.61,121.05,Debit Card,Mobile,Paid Ads,Gold,Express,East,0,Cancelled,No,4.9,379.97,12.9,15.62,Winter,No,No
606519,CUST000857,2023-01-03,2023,1,3,Tuesday,1,48,Male,Canada,Dubai,Returning,PROD02431,Electronics,Accessories,QuickCart,329.8,3,25,247.35,Yes,0.27,94.72,837.04,Cash on Delivery,Desktop,Paid Ads,Platinum,Standard,East,6,Delivered,No,4.5,14110.89,10.28,86.05,Winter,No,Yes
609950,CUST000777,2023-01-03,2023,1,3,Tuesday,1,18,Female,Australia,Sydney,Returning,PROD02257,Toys,Action Figures,UrbanCo,76.35,4,5,15.27,No,7.71,20.67,318.51,Cash on Delivery,Desktop,Referral,Standard,Standard,South,4,Delivered,No,3.2,5106.15,17.28,55.04,Winter,No,No
609669,CUST007436,2023-01-03,2023,1,3,Tuesday,1,47,Male,India,Sydney,Loyal,PROD02303,Beauty,Skincare,EcoLife,70.13,3,0,0.0,No,8.99,15.99,235.37,Wallet,Desktop,Organic Search,Standard,Standard,North,7,Cancelled,No,3.6,2712.55,36.31,85.46,Winter,No,No
606561,CUST003986,2023-01-03,2023,1,3,Tuesday,1,42,Male,Pakistan,Dubai,New,PROD01480,Fashion,Men Clothing,Trendify,87.17,2,15,26.15,Yes,9.92,10.42,168.53,PayPal,Mobile,Referral,Silver,Standard,East,7,Delivered,No,4.4,2246.47,28.39,47.85,Winter,No,No
606769,CUST005011,2023-01-03,2023,1,3,Tuesday,1,49,Female,Australia,Berlin,New,PROD00674,Groceries,Beverages,EcoLife,10.36,2,5,1.04,No,9.86,2.14,31.68,PayPal,Desktop,Organic Search,Gold,Express,South,1,Delivered,No,3.4,646.01,26.97,8.54,Winter,No,No
621288,CUST006883,2023-01-03,2023,1,3,Tuesday,1,35,Female,UAE,Toronto,Premium,PROD02214,Groceries,Dairy,Apex,20.6,2,35,14.42,Yes,13.99,2.92,43.69,Credit Card,Mobile,Paid Ads,Silver,Express,East,0,Delivered,No,4.1,1475.69,20.66,9.03,Winter,No,No
620843,CUST004162,2023-01-03,2023,1,3,Tuesday,1,26,Male,France,Toronto,Returning,PROD00506,Sports,Sportswear,UrbanCo,50.02,1,5,2.5,No,12.78,3.55,63.85,PayPal,Mobile,Social Media,Standard,Express,East,2,Delivered,No,4.8,130.05,20.72,13.23,Winter,No,No
613804,CUST000257,2023-01-03,2023,1,3,Tuesday,1,27,Female,United Kingdom,Toronto,New,PROD02157,Groceries,Fresh Produce,Nova,48.23,2,15,14.47,Yes,6.51,7.35,95.85,PayPal,Mobile,Organic Search,Standard,Standard,South,8,Delivered,No,5.0,1861.64,3.0,2.88,Winter,No,No
628707,CUST005748,2023-01-03,2023,1,3,Tuesday,1,37,Male,Germany,Paris,Loyal,PROD02440,Electronics,Laptop,Trendify,214.16,6,10,128.5,Yes,6.72,116.04,1279.22,Bank Transfer,Mobile,Email,Platinum,Pickup,North,5,Delivered,No,4.7,24780.33,23.73,303.56,Winter,No,Yes
601529,CUST006462,2023-01-03,2023,1,3,Tuesday,1,34,Female,France,Toronto,Loyal,PROD02007,Fashion,Men Clothing,Zenith,37.09,4,5,7.42,No,8.38,7.62,156.94,Debit Card,Mobile,Email,Standard,Standard,South,2,Delivered,No,4.6,3685.89,31.13,48.86,Winter,No,No
626912,CUST001408,2023-01-03,2023,1,3,Tuesday,1,35,Male,Germany,Mumbai,Loyal,PROD01009,Home & Kitchen,Furniture,PrimePlus,88.24,3,35,92.65,Yes,4.65,21.23,197.95,Debit Card,Mobile,Social Media,Standard,Pickup,East,4,Delivered,No,4.3,2135.67,9.57,18.94,Winter,No,No
604556,CUST006372,2023-01-03,2023,1,3,Tuesday,1,47,Female,Canada,Riyadh,New,PROD00786,Home & Kitchen,Furniture,EcoLife,147.58,2,0,0.0,No,2.81,9.71,307.68,Credit Card,Desktop,Organic Search,Standard,Standard,Central,6,Delivered,No,4.4,1157.12,24.57,75.6,Winter,No,No
620624,CUST003940,2023-01-03,2023,1,3,Tuesday,1,25,Male,Saudi Arabia,New York,Premium,PROD01670,Electronics,Accessories,EcoLife,607.43,3,15,273.34,Yes,7.32,212.7,1768.97,Bank Transfer,Mobile,Email,Standard,Standard,Central,8,Shipped,No,4.1,25322.58,26.05,460.82,Winter,No,Yes
618791,CUST000097,2023-01-03,2023,1,3,Tuesday,1,55,Other,Australia,Toronto,Returning,PROD01012,Electronics,Laptop,EcoLife,451.33,1,0,0.0,No,10.03,19.41,480.77,Bank Transfer,Mobile,Email,Platinum,Same Day,South,3,Processing,No,4.0,9551.6,22.26,107.02,Winter,No,Yes
609169,CUST001542,2023-01-03,2023,1,3,Tuesday,1,23,Male,Canada,Riyadh,Returning,PROD01826,Groceries,Dairy,Trendify,36.55,4,35,51.17,Yes,1.41,5.23,101.67,Wallet,Mobile,Paid Ads,Platinum,Standard,East,8,Delivered,No,4.1,1074.58,19.83,20.16,Winter,No,No
619183,CUST003454,2023-01-03,2023,1,3,Tuesday,1,35,Female,Canada,Karachi,New,PROD02436,Beauty,Fragrance,Zenith,43.67,1,5,2.18,Yes,4.11,3.15,48.75,Credit Card,Desktop,Referral,Gold,Standard,West,5,Delivered,No,3.3,717.82,12.8,6.24,Winter,No,No
611974,CUST007663,2023-01-04,2023,1,4,Wednesday,1,44,Male,India,Toronto,Returning,PROD01359,Electronics,Mobile,ValueMax,406.78,5,10,203.39,Yes,17.02,77.25,1924.78,PayPal,Desktop,Referral,Gold,Express,Central,0,Delivered,No,4.1,6578.18,15.37,295.84,Winter,No,Yes
601405,CUST004354,2023-01-04,2023,1,4,Wednesday,1,49,Male,Canada,London,Premium,PROD00950,Electronics,Headphones,EcoLife,378.3,4,0,0.0,No,7.36,70.18,1590.74,Wallet,Desktop,Direct,Silver,Standard,West,5,Delivered,No,4.1,24496.03,14.0,222.7,Winter,No,Yes
619709,CUST001799,2023-01-04,2023,1,4,Wednesday,1,19,Female,Germany,Berlin,Returning,PROD01930,Groceries,Snacks,Apex,14.54,4,0,0.0,No,18.77,6.69,83.62,Credit Card,Mobile,Referral,Standard,Express,West,4,Returned,Yes,3.2,1002.93,29.48,24.65,Winter,No,No
625826,CUST001610,2023-01-04,2023,1,4,Wednesday,1,28,Female,Canada,Karachi,Returning,PROD02250,Groceries,Fresh Produce,PrimePlus,7.92,4,15,4.75,Yes,15.2,2.76,44.89,Wallet,Desktop,Referral,Standard,Express,South,5,Processing,No,2.8,408.1,15.36,6.9,Winter,No,No
628479,CUST008917,2023-01-04,2023,1,4,Wednesday,1,30,Male,Saudi Arabia,London,Premium,PROD01951,Home & Kitchen,Cookware,ValueMax,154.75,4,10,61.9,Yes,22.8,52.01,631.91,Wallet,Mobile,Social Media,Standard,Same Day,North,1,Shipped,No,5.0,13811.91,6.1,38.55,Winter,No,Yes
621019,CUST005579,2023-01-04,2023,1,4,Wednesday,1,24,Male,Saudi Arabia,Karachi,New,PROD01858,Groceries,Dairy,PrimePlus,20.13,1,5,1.01,Yes,14.34,1.32,34.78,Credit Card,Mobile,Email,Standard,Express,Central,2,Shipped,No,4.0,176.65,35.23,12.25,Winter,No,No
610378,CUST000172,2023-01-04,2023,1,4,Wednesday,1,27,Female,United Kingdom,Paris,New,PROD00332,Home & Kitchen,Appliances,PrimePlus,89.05,3,5,13.36,No,4.43,29.11,287.33,Debit Card,Mobile,Direct,Gold,Standard,Central,7,Processing,No,2.8,1109.79,3.0,8.62,Winter,No,No
626601,CUST006370,2023-01-04,2023,1,4,Wednesday,1,37,Female,Saudi Arabia,Dubai,Loyal,PROD00125,Sports,Equipment,Apex,80.13,3,10,24.04,Yes,17.61,11.71,245.67,Wallet,Mobile,Paid Ads,Gold,Same Day,North,4,Delivered,No,4.5,2915.64,20.3,49.87,Winter,No,No
625781,CUST005519,2023-01-04,2023,1,4,Wednesday,1,19,Female,France,Riyadh,Premium,PROD02078,Toys,Board Games,Apex,34.18,1,0,0.0,No,10.51,2.8,47.49,Debit Card,Desktop,Organic Search,Gold,Express,East,5,Shipped,No,4.6,1120.24,21.41,10.17,Winter,No,No
602281,CUST008529,2023-01-04,2023,1,4,Wednesday,1,40,Male,Germany,Karachi,Returning,PROD00876,Groceries,Beverages,QuickCart,11.06,7,10,7.74,Yes,13.76,8.62,92.06,Bank Transfer,Mobile,Referral,Standard,Standard,South,0,Delivered,No,4.0,139.81,25.12,23.13,Winter,No,No
619828,CUST001228,2023-01-04,2023,1,4,Wednesday,1,49,Female,United States,Karachi,Loyal,PROD02015,Books,Fiction,Zenith,25.7,4,20,20.56,Yes,3.98,10.88,97.1,Wallet,Mobile,Referral,Gold,Standard,Central,3,Delivered,No,4.1,2176.0,23.76,23.07,Winter,No,No
601296,CUST002317,2023-01-04,2023,1,4,Wednesday,1,26,Male,UAE,Mumbai,Returning,PROD00483,Home & Kitchen,Decor,UrbanCo,133.85,3,5,20.08,No,10.09,18.76,410.32,PayPal,Desktop,Organic Search,Gold,Express,North,5,Delivered,No,3.7,1074.81,28.05,115.09,Winter,No,Yes
601075,CUST008570,2023-01-04,2023,1,4,Wednesday,1,46,Female,Germany,Toronto,Returning,PROD01399,Home & Kitchen,Decor,UrbanCo,68.17,1,20,13.63,Yes,15.67,5.53,75.74,Bank Transfer,Mobile,Email,Standard,Express,South,3,Returned,Yes,3.1,559.87,22.54,17.07,Winter,No,No
